market_cap_rank,id,symbol,name,current_price,market_cap,total_volume,high_24h,low_24h,price_change_percentage_24h,circulating_supply,total_supply,max_supply
50,aave,aave,Aave,68.86,988708419,33487465,69.94,68.48,-0.41589,14368124.919894446,16000000.0,16000000.0
51,blockstack,stx,Stacks,0.719609,988182364,83275392,0.746557,0.705469,-2.19465,1374673376.59721,1818000000.0,1818000000.0
52,theta-token,theta,Theta Network,0.982304,981809473,12389052,1.006,0.976946,-1.1701,1000000000.0,1000000000.0,1000000000.0
53,decentraland,mana,Decentraland,0.537637,981082479,69988795,0.557191,0.534413,-2.68,1824363122.1815345,2193179327.32015,2193179327.32015
54,elrond-erd-2,egld,MultiversX,37.5,948391123,20001679,38.94,37.42,-3.19142,25322561.0,25327713.0,31415926.0
55,tezos,xtz,Tezos,0.983835,911807904,29130005,1.016,0.982976,-2.07934,927472242.373392,,
56,flow,flow,Flow,0.879811,909415300,38609250,0.924805,0.870807,-3.05686,1036200000.0,1427854705.50421,1427854705.50421
57,axie-infinity,axs,Axie Infinity,7.69,888420760,36292292,7.93,7.64,-1.34138,115661358.61362292,270000000.0,270000000.0
58,immutable-x,imx,ImmutableX,0.929719,887412010,21390237,0.97507,0.924996,-3.28965,955742013.3300241,2000000000.0,2000000000.0
59,radix,xrd,Radix,0.086215,877661341,7345099,0.095486,0.086276,-5.06359,10155980304.8966,12555962376.9547,24000000000.0
60,rocket-pool,rpl,Rocket Pool,45.39,877605205,7218217,46.15,44.8,-0.62102,19329235.9298071,19329235.9298071,
61,kucoin-shares,kcs,KuCoin,7.97,772757982,1072188,8.04,7.94,-0.563,96974735.4569757,144474735.456892,
62,havven,snx,Synthetix Network,2.36,746496392,31864169,2.49,2.36,-4.597,316599333.13952357,317323241.088774,317323241.088774
63,neo,neo,NEO,10.45,737478595,33547627,10.89,10.42,-2.64222,70530000.0,100000000.0,
64,curve-dao-token,crv,Curve DAO,0.902282,729186135,40965966,0.934578,0.899228,-2.58394,808085533.0,1937672004.07863,3303030299.0
65,gatechain-token,gt,Gate,5.2,722827030,729705,5.25,5.13,1.16874,139018905.1789118,300000000.0,
66,usdd,usdd,USDD,0.987226,715878207,16742350,0.992369,0.985177,-0.00191,725332035.842248,,
67,bitdao,bit,BitDAO,0.490663,712856137,3333455,0.497801,0.489844,-0.91999,1453909315.2107098,9610239403.0,9610239403.0
68,optimism,op,Optimism,2.15,678314155,83851269,2.23,2.15,-2.0551,314844141.0,4294967296.0,4294967296.0
69,chiliz,chz,Chiliz,0.126103,673990435,134515285,0.127332,0.121024,4.19666,5344064580.0,8888888888.0,8888888888.0
70,klay-token,klay,Klaytn,0.217993,672702596,24358475,0.224238,0.217218,-0.94489,3088455215.84353,,
71,whitebit,wbt,WhiteBIT Token,4.64,668874170,1044223,4.66,4.63,0.21397,144118517.10815412,375358884.0,400000000.0
72,render-token,rndr,Render,1.8,653052616,86708434,1.86,1.72,2.62385,363911539.108796,531016083.388796,531016083.388796
73,bitcoin-cash-sv,bsv,Bitcoin SV,33.79,650736597,20847801,34.42,33.56,-0.20433,19266076.644239,21000000.0,21000000.0
74,terra-luna,lunc,Terra Luna Classic,0.00010904,643316580,33785227,0.00011193,0.00010846,-1.10134,5897582113998.36,6855927608617.28,
75,gmx,gmx,GMX,71.12,615201625,19684276,72.14,70.27,-0.91335,8654533.93538294,8654533.93538294,13250000.0
76,maker,mkr,Maker,674.32,607420006,14921805,686.61,668.85,-0.95179,901310.9472893132,977631.036950888,1005577.0
77,bittorrent,btt,BitTorrent,6.30803e-07,600587030,14341614,6.40452e-07,6.26822e-07,-1.26859,951421714286000.0,990000000000000.0,990000000000000.0
78,conflux-token,cfx,Conflux,0.283006,593194366,101780149,0.29823,0.280368,-2.90244,2097547687.26523,5284997962.62513,
79,mina-protocol,mina,Mina Protocol,0.650667,579042810,17826855,0.67176,0.646821,-1.61551,889948925.840039,1025875612.84004,
80,frax-share,fxs,Frax Share,8.05,578138800,12399369,8.28,7.92,-1.68427,71622868.9629728,99822984.1145714,99822984.1145714
81,huobi-token,ht,Huobi,3.55,576266225,6634389,3.6,3.53,-0.53879,162336522.3,203980445.3,203980445.3
82,injective-protocol,inj,Injective,7.12,568757014,114270872,7.4,6.51,8.8389,80005555.33,100000000.0,100000000.0
83,ecash,xec,eCash,2.896e-05,561163038,3360943,2.969e-05,2.883e-05,-1.1212,19370767173303.0,21000000000000.0,21000000000000.0
84,dash,dash,Dash,49.65,558465239,42953405,50.34,49.32,-0.41106,11245752.1661353,18920000.0,
85,xdce-crowd-sale,xdc,XDC Network,0.040128,556841532,4385067,0.04134019,0.04018241,-2.25023,13831285272.0,37831282863.3,
86,iota,miota,IOTA,0.195506,543031521,8056130,0.200347,0.194465,-1.39357,2779530283.277761,2779530283.0,
87,casper-network,cspr,Casper Network,0.04888854,535152673,11239701,0.050394,0.04861166,-0.64133,10952373869.0,11666740429.0,
88,bitget-token,bgb,Bitget Token,0.381041,533324457,12206823,0.4081,0.376762,-6.6244,1400001000.0,2000000000.0,2000000000.0
89,pax-gold,paxg,PAX Gold,1986.93,517249748,10856619,2000.17,1979.5,0.28919,260663.431,260663.431,
90,pancakeswap-token,cake,PancakeSwap,2.64,514144389,283370542,2.91,2.6,-9.00736,194500713.984191,384564785.329756,750000000.0
